id,type,label
"hash-1755512731","evidence","Luxury cruise vessels in Varanasi threaten 8,000 traditional boatmen and 50,000 Nishad dependents. Beautified ghats displaced informal settlements. Cremation ghats in Chamoli, Rudraprayag, Tehri, and Uttarkashi were built ""without assessing local needs or cultural practices"" and remain unused."
"namami-gange-under-fire-claim-4","claim","Gangetic dolphin populations have more than doubled, indicating ecological recovery."
"hash-1838973633","evidence","Nationwide survey (2021-23) found 6,324 dolphins, up from an estimated 2,500-3,000 in 2009 and ~3,500 in 2015. Dolphin presence was confirmed in 10 tributaries where previously unrecorded. However, conservationists caution that dolphins concentrate in remaining clean stretches, masking continued degradation elsewhere."
"hash-1057707053","source","Wildlife Institute of India"
"namami-gange-under-fire-claim-5","claim","Funds under Namami Gange have been efficiently utilised."
"hash-1601473469","evidence","The 2017 CAG found only 25% of funds spent. The 2025 CAG report on Uttarakhand found 16% utilisation for forestry interventions (Rs. 144 cr of Rs. 885 cr). Overall fund utilisation is estimated at 53-82% depending on metric. The PAC (2024) noted ""overall expenditure was low compared to the allocated budget."""
"india-china-border-lac","story","The Cold Peace Along the LAC: Why the India–China Border Remains Unsettled After 75 Years"
"https://en.wikipedia.org/wiki/Simla_Convention","source","Simla Convention (1914)"
"https://en.wikipedia.org/wiki/Panchsheel","source","Sino-Indian Agreement on Tibet (1954)"
"https://en.wikipedia.org/wiki/Nehru-Zhou_correspondence","source","Nehru-Zhou Enlai Correspondence (1959–1962)"
"https://en.wikipedia.org/wiki/Sino-Indian_War","source","Report of the Officials (1961)"
"https://en.wikipedia.org/wiki/India%27s_China_War","source","Neville Maxwell, India's China War (1970)"
"hash-811402141","source","Steven Hoffman, War and Peace in the Borderlands (2021)"
"india-china-border-lac-claim-0","claim","The border dispute originates in competing territorial claims inherited from British colonial period."
"hash-1091676639","evidence","The McMahon Line (1914) was agreed between Britain and Tibet but China never accepted it."
"hash-1061704645","source","Simla Convention"
"india-china-border-lac-claim-1","claim","China built a strategic road through Aksai Chin (1954–1957) without Indian knowledge."
"hash-1817971838","evidence","Indian patrols discovered the road in 1958; diplomatic protest issued."
"hash-888775769","source","Indian intelligence reports"
"india-china-border-lac-claim-2","claim","The 1959 Tibetan uprising caused irreversible deterioration in relations."
"hash-1952093397","evidence","Nehru's granting of asylum to the Dalai Lama was seen as hostility by China."
"hash-1279848365","source","Nehru-Zhou correspondence"
"india-china-border-lac-claim-3","claim","China's 1962 offensive was limited in aim — not conquest, but to ""teach India a lesson."""
"hash-2044328401","evidence","China withdrew unilaterally to pre-war positions after its military victory."
"hash-979527186","source","Maxwell (1970)"
"india-china-border-lac-claim-4","claim","India's 1962 defeat was caused by military unpreparedness and faulty strategy."
"hash-635553972","evidence","Forward Policy scattered forces into isolated positions; logistics and equipment were inadequate."
"hash-348608065","source","Henderson-Brooks Report"
"india-china-border-lac-claim-5","claim","The post-1962 ""cold peace"" is maintained through agreements that manage but do not resolve the dispute."
"hash-1664047282","evidence","CBMs have reduced crisis frequency but the territorial claims remain irreconcilable."
"hash-1591142438","source","1993, 1996, 2013 agreements"
"india-china-border-lac-claim-6","claim","Galwan (2020) was the first fatal conflict since 1967 and represents structural escalation."
"hash-771598362","evidence","Both sides now deploy 100,000+ troops; old model of managed conflict is no longer sufficient."
"hash-837641023","source","MEA/independent estimates"
"kashmir-the-first-test","story","Kashmir: The First Test — How the 1947–48 War Established a Conflict That Remains Unresolved 75 Years Later"
"hash-218213093","source","Srinath Raghavan, War and Peace in Modern India (2010)"
"hash-1175103075","source","Prem Shankar Jha, Kashmir 1947: Rival Versions of History (1996)"
"hash-746895739","source","Alastair Lamb, Incomplete Partition (1989)"
"hash-934279522","source","Victoria Schofield, Kashmir in Conflict (2003)"
"hash-1804962846","source","Instrument of Accession (26 October 1947)"
"https://undocs.org","source","UNSC Resolutions on Kashmir (1948–1951)"
"kashmir-the-first-test-claim-0","claim","The partition framework left princely states to choose their allegiance, but Kashmir's unique demography made this framework unworkable."
"hash-713718946","evidence","Muslim-majority (77%), Hindu ruler, strategic geography bordering both dominions."
"hash-1624052688","source","Jha (1996); Lamb (1989)"
"kashmir-the-first-test-claim-1","claim","The tribal invasion of October 1947 was not spontaneous but was planned and supported by Pakistan's leadership."
"hash-641002786","evidence","Logistical coordination, arms supply, and Pakistani military personnel accompanied tribal fighters."
"hash-1079757748","source","Lamb (1989); Jha (1996)"
"kashmir-the-first-test-claim-2","claim","Maharaja Hari Singh signed the Instrument of Accession under extreme military pressure."
"hash-1402450432","evidence","Tribal forces were ~50 miles from Srinagar; the Maharaja had lost control of his state."
"hash-586192585","source","V.P. Menon; Jha (1996)"
"kashmir-the-first-test-claim-3","claim","India's airlift of troops to Srinagar on 27 October 1947 prevented the fall of the Kashmir Valley."
"hash-618705678","evidence","Tribal forces were approaching Srinagar; without the airlift the Valley would have fallen."
"hash-801026898","source","Official History; Raghavan (2010)"
"kashmir-the-first-test-claim-4","claim","India's referral of Kashmir to the UN Security Council was a strategic error."
"hash-738738355","evidence","Nehru later said referring Kashmir to the UN was a mistake; it internationalised the conflict."
"hash-759552274","source","Raghavan (2010)"
"kashmir-the-first-test-claim-5","claim","The ceasefire line established in January 1949 became a permanent division that has never been settled."
"hash-1375346265","evidence","The ceasefire line became the Line of Control — a division rejected by the people of Kashmir."
"hash-389336411","source","UNCIP Report; Schofield (2003)"
"ng-ch-01","story","The Promise: Why Namami Gange Was Launched and What It Set Out to Achieve"
"https://nmcg.nic.in","source","NMCG: Namami Gange Programme Overview"
"ng-ch-01-claim-0","claim","Namami Gange was fundamentally different from the Ganga Action Plan in design and scope."
"hash-812601293","evidence","Unlike GAP's single-focus approach on STP construction, Namami Gange introduced an eight-pillar framework, hybrid annuity PPP model, and multi-agency coordination under the National Ganga Council. The budget was 20x larger. Programme design was informed by IIT consortium studies."
"hash-2399843","source","NMCG"
"ng-ch-01-claim-1","claim","UN World Restoration Flagship status validates the programme's environmental impact."
"hash-738432590","evidence","The 2022 UNEP designation recognised ""commitment to restoring the Ganga"" — not demonstrated restoration outcomes. Of 10 World Restoration Flagships named, multiple were for initiatives still in early stages. The status is awarded for ambitious restoration pledges, not verified ecological recovery."
"ng-ch-02","story","Follow the Money: Budget Sanctioned, Released, and Actually Spent"
"ng-ch-02-claim-0","claim","Fund utilisation for Namami Gange has been satisfactory overall."
"hash-379755118","evidence","CAG 2018 found only 25% of released funds utilised. CAG 2025 found 16% utilisation for forestry. PAC 2024 noted ""overall expenditure was low compared to the allocated budget."" Bihar spent 2.1% of STP allocation. Overall utilisation is estimated at 53-82% depending on the metric."
"ng-ch-02-claim-1","claim","The Hybrid Annuity Model ensures private sector efficiency in STP construction."
"hash-2137378248","evidence","While HAM has brought private sector participation, it also commits future government payments of ₹15,000+ crore that function as off-balance-sheet liabilities. CAG 2025 found that some HAM-based STPs underperformed as badly as traditional ones, with 12 of 44 inspected discharging untreated sewage."
"ng-ch-03","story","Chapter 3: The Sewage Problem — How Much Waste Enters the Ganga Every Day"
"ng-ch-03-claim-0","claim","Sewage treatment capacity has increased 30-fold since pre-2014."
"hash-1817176545","evidence","From ~100 MLD to 3,446 MLD. However, only 60% is operational, and CAG found 12 of 44 inspected STPs discharge untreated waste."
"ng-ch-04","story","Chapter 4: The Audit Trail — Every Official Finding from 2017 to 2025"
"ng-ch-04-claim-0","claim","Multiple audits show systemic governance failures."
"hash-1085964157","evidence","Both CAG reports (2018, 2025) and PAC (2024) document deficiencies in planning, financial management, project approvals, monitoring, and quality control. These are official audit findings, not allegations."
"hash-1261148428","source","CAG/PAC"
"ng-ch-05","story","Chapter 5: Procurement & Accountability — Where Audit Findings End and Corruption Cases Begin"
"ng-ch-06","story","Chapter 6: Why STPs Don't Work — The Engineering and Governance Failures"
"ng-ch-07","story","Chapter 7: Water Quality — What the Scientific Data Actually Shows"
"ng-ch-07-claim-0","claim","Ganga water quality has significantly improved under Namami Gange."
"hash-1091281533","evidence","Dissolved oxygen is acceptable on most stretches, but 37 stretches remain biologically dead. Faecal coliform at Prayagraj during Mahakumbh was 20x the safe limit. CPCB stated water quality ""was not conforming with primary water quality criteria for bathing at all monitored locations."""
"ng-ch-08","story","Chapter 8: City Report Cards — Haridwar, Kanpur, Prayagraj, Varanasi, Patna, Kolkata"
"ng-ch-09","story","Chapter 9: The Contractor Network — EPC, HAM, O&M — Who Builds the STPs"
"ng-ch-10","story","Chapter 10: Timeline of Delays — Every Major Project from Approval to Commissioning"
"ng-ch-11","story","Chapter 11: Ecological Outcomes — Dolphins, Wetlands, and River Flow"
"ng-ch-11-claim-0","claim","Dolphin population doubling proves ecological recovery."
"hash-163199036","evidence","From ~3,500 (2015) to 6,324 (2023). Confirmed in 10 new tributaries. However, dolphins concentrate in remaining clean stretches, masking degradation elsewhere."
"hash-522875031","source","WII/Government"
"ng-ch-12","story","Chapter 12: Voices from the River — What Communities, Scientists, and Officials Say"
"ng-ch-13","story","Chapter 13: Government Response — The Official Defence of Namami Gange"
"ng-ch-14","story","Chapter 14: What Actually Worked — Documented Successes"
"ng-ch-14-claim-0","claim","Some infrastructure has genuinely improved."
"hash-732944570","evidence","While CAG and other audits highlight failures, they also confirm that 2,000+ MLD of STP capacity is operational, industrial monitoring has improved, and dolphin populations have recovered. The Patna interceptor drain project is cited as a best-practice case."
"hash-103749117","source","NMCG/CAG"
"ng-ch-15","story","Chapter 15: Recommendations — Evidence-Backed Fixes"
